NGO Name,Latitude,Longitude,Average Age of Beneficiaries,People Count,Last Food Received (hrs),Food Stock Level (%),Urgency Score
Akshaya Trust,13.030002694468768,80.27352957593168,56,131,5,0,244.34
Akshaya Trust,13.03121594443686,80.25734023596434,30,166,15,14,243.79
Mudhra,13.066452083035562,80.23768176201513,40,182,20,15,255.21
India Vision Institute,13.073395890974124,80.24610475030549,24,88,8,3,210.27
India Vision Institute,13.060949620971426,80.24298241329224,50,69,22,74,118.605
Sri Arunodayam,13.080542970145274,80.24244571114131,64,145,1,10,241.72
Akshaya Trust,13.036618886707211,80.26387052468625,65,190,14,7,276.99
Dean Foundation,13.092600251539402,80.26111824151911,64,149,15,61,176.72
India Vision Institute,13.06972728410588,80.24299225107241,29,98,2,23,185.15
The Banyan,13.071376830968518,80.1886550107694,41,132,1,29,194.625
Dean Foundation,13.09854960982827,80.26923407933506,27,87,16,52,145.91
Ekam Foundation,13.05054950456279,80.20839466710109,31,198,2,91,129.07
Nice Foundation,13.04859782083738,80.21403369240585,46,73,21,52,151.715
Sri Arunodayam,13.082143666622157,80.24725340735138,60,173,21,95,143.17
India Vision Institute,13.072939956256512,80.23020811810524,58,183,19,57,202.195
The Banyan,13.063811700138976,80.18829160018879,35,192,11,29,228.61
Dean Foundation,13.096788962773797,80.26092256914465,20,78,2,7,195.995
Life Help Centre,13.011814237725794,80.2591965202717,56,190,22,99,145.3
India Vision Institute,13.06239711621628,80.24871732898538,49,181,9,33,220.68
Dean Foundation,13.087884715315845,80.25445503537371,42,198,15,77,167.99
Dean Foundation,13.097227867361395,80.25732106798303,45,143,10,20,229.38
Life Help Centre,13.009102261606436,80.2552242725647,30,98,17,20,201.755
Dean Foundation,13.09513329708722,80.26977464901059,57,75,20,90,97.81
Mudhra,13.056717079848294,80.22799800546025,22,183,10,65,174.43
Bhumi,13.086149562517727,80.2758061627655,57,150,12,64,167.83
Nice Foundation,13.047875476550558,80.22854886446808,64,121,10,26,211.03
Dean Foundation,13.089991327311004,80.25302235719906,28,150,19,89,124.02
Akshaya Trust,13.037362534483377,80.27677882963526,38,52,8,22,169.765
Akshaya Trust,13.023210131143296,80.25813129718198,61,104,10,39,183.325
Life Help Centre,13.010539149050082,80.2592560195659,61,173,11,47,204.595
Nice Foundation,13.056343998513196,80.22584160184645,55,77,18,64,135.64
India Vision Institute,13.07677871460911,80.23566880198884,32,132,20,66,153.25
Ekam Foundation,13.051618166877452,80.2079837747132,63,154,15,43,208.03
Dean Foundation,13.099327604202466,80.26212998882713,26,127,15,89,108.06
Life Help Centre,12.992760149359931,80.25632903081281,30,73,6,72,100.81
Nice Foundation,13.040018457158856,80.21111740199055,40,169,7,78,146.68
Bhumi,13.078628451810726,80.26822108759997,63,181,18,84,160.97
Akshaya Trust,13.024188676909066,80.27352826364229,65,159,1,20,231.355
Sri Arunodayam,13.079081553452646,80.24348531420114,55,88,18,89,103.935
India Vision Institute,13.0798578320314,80.23684568851769,51,101,2,97,82.975
India Vision Institute,13.073455629249592,80.24732820286924,20,140,13,59,156.555
Ekam Foundation,13.052444705543143,80.21933799526951,30,114,16,28,194.47
Mudhra,13.063276882938608,80.22399841764818,58,78,1,74,106.56
Nice Foundation,13.047560465841164,80.21461572637658,65,137,19,74,156.99
Life Help Centre,13.008136855530788,80.26477887548312,47,120,5,17,210.49
Mudhra,13.055620796706366,80.22718815826174,48,54,13,66,116.115
Life Help Centre,12.996101077221168,80.26352390153961,22,52,5,82,71.57
Dean Foundation,13.099161342264331,80.25777839444136,30,92,13,100,78.55
The Banyan,13.06295216274544,80.16987062686786,65,116,24,60,157.9
The Banyan,13.065063281257148,80.18800016427099,20,155,20,67,157.825
Ekam Foundation,13.05736067946667,80.21494209096191,38,122,1,1,230.225
Akshaya Trust,13.029046599355391,80.27459576789963,24,107,9,1,223.585
Akshaya Trust,13.034908137209436,80.2618525836084,21,116,23,76,130.15
Dean Foundation,13.0943942142886,80.25033235286213,63,175,4,25,234.16
Mudhra,13.0670902776581,80.22127949072159,58,58,16,23,187.635
Bhumi,13.08337973099576,80.27116040197609,36,131,5,2,234.755
Bhumi,13.080125612721318,80.27974505166556,37,83,15,64,129.45
Dean Foundation,13.083955262192973,80.25969185126067,46,154,1,11,245.395
Sri Arunodayam,13.080987597205445,80.24149753023339,41,102,24,19,214.975
Nice Foundation,13.043069233136531,80.22765077893995,47,140,21,92,125.945
Life Help Centre,12.994561341907987,80.25906126699353,62,87,20,68,140.53
India Vision Institute,13.076196707025826,80.232530007984,22,152,5,67,145.2
Akshaya Trust,13.036766992603212,80.25734084839948,36,135,2,21,207.695
Sri Arunodayam,13.080233698273023,80.25124925795242,64,192,8,62,186.855
Sri Arunodayam,13.070065821164713,80.25928885832438,60,144,21,5,260.27
Mudhra,13.054988393013105,80.23401890465556,39,80,12,70,116.735
Nice Foundation,13.041127958996787,80.22756424307883,60,142,1,79,134.92
Nice Foundation,13.041929472041284,80.21354133889594,35,100,8,77,112.51
Ekam Foundation,13.048674803600322,80.21040419059186,63,79,13,24,196.665
The Banyan,13.06515224529442,80.17647174537805,49,97,19,69,138.41
Life Help Centre,13.011306668428906,80.26484409812502,65,183,13,87,153.015
Nice Foundation,13.05037719674861,80.2131753303272,20,113,13,22,197.96
Mudhra,13.063188503108266,80.2237799165507,57,150,15,23,233.32
Dean Foundation,13.09620959580606,80.26239832064641,23,173,14,59,175.935
Ekam Foundation,13.051740690352592,80.2068175383825,47,71,6,10,203.185
Nice Foundation,13.059797946563748,80.22072193781574,44,186,21,49,210.665
Bhumi,13.07964375720726,80.26072321439744,59,57,5,73,102.925
The Banyan,13.0672601485719,80.17258320859108,22,196,1,90,126.7
Akshaya Trust,13.032489694485289,80.25756634182206,30,143,19,3,249.17
Nice Foundation,13.04377925938216,80.21420843087402,38,182,11,63,176.17
Akshaya Trust,13.03802214770007,80.26830139569758,29,128,1,68,128.655
Mudhra,13.068229407759429,80.22965891238562,54,149,6,11,243.135
The Banyan,13.066818114991994,80.18262386678613,29,68,9,35,158.57
Dean Foundation,13.09790933125084,80.26900611014725,43,71,22,6,218.575
Bhumi,13.091611551301131,80.27167799351125,55,56,9,41,155.63
Sri Arunodayam,13.079678562682965,80.24993467828213,50,57,19,91,83.97
Bhumi,13.082318826142544,80.26088734431279,54,164,8,54,185.61
India Vision Institute,13.078982576547178,80.24528188108522,33,142,4,88,113.59
Mudhra,13.05665620629836,80.23038931481119,48,118,22,10,237.985
Dean Foundation,13.082166451826511,80.2551054870835,27,83,21,48,153.95
Sri Arunodayam,13.071380139988014,80.25366542302145,30,164,5,33,202.72
India Vision Institute,13.06105015592338,80.24824148782506,46,105,2,69,130.315
India Vision Institute,13.077185239522354,80.24754381822936,32,131,22,66,153.765
The Banyan,13.06938173390184,80.1824145163971,40,180,8,89,133.085
The Banyan,13.079205254651482,80.18138785394552,50,159,23,68,172.045
Dean Foundation,13.087116948683208,80.26798943979237,56,200,21,78,177.535
India Vision Institute,13.06248223349566,80.24591703187262,54,128,24,46,192.445
Sri Arunodayam,13.083648840881985,80.25460488003131,41,145,6,31,203.655
Ekam Foundation,13.047429580022902,80.20596756571504,50,140,7,21,223.825
Bhumi,13.07418268263638,80.27814540370927,57,152,22,13,256.37
India Vision Institute,13.076785271640656,80.24620267357065,61,77,8,34,175.09
Mudhra,13.069673800254485,80.22802855277547,20,171,3,3,250.355
India Vision Institute,13.060094630348145,80.23819616429783,33,74,17,9,207.775
Akshaya Trust,13.042590287441206,80.25799195405926,54,163,12,7,261.14
Sri Arunodayam,13.077303897349616,80.24440780798743,65,80,6,82,103.85
Dean Foundation,13.081980714808587,80.26711577507261,43,170,15,80,149.475
India Vision Institute,13.06267334267899,80.2345413932575,51,89,12,64,137.16
India Vision Institute,13.073657431755676,80.237281313198,25,70,21,69,115.075
The Banyan,13.068602097282506,80.17682868081097,52,174,11,11,259.035
Nice Foundation,13.048737119799554,80.2205774701196,36,137,2,2,235.3
Life Help Centre,12.995295309956544,80.26359286373624,35,70,5,8,199.55
Mudhra,13.068781239942329,80.23139732784561,33,115,7,36,176.93
Bhumi,13.083491386599434,80.27912415670673,42,160,21,37,215.645
Life Help Centre,12.996618062542494,80.25848265679825,53,73,22,63,137.895
Mudhra,13.06650313097227,80.22034504657078,21,77,17,14,194.515
Mudhra,13.062083527806784,80.22188247984035,30,55,15,91,71.765
Dean Foundation,13.09543891128241,80.25246867603657,56,98,22,48,172.12
Bhumi,13.083971867756794,80.27613390914307,51,131,11,51,174.325
The Banyan,13.070275318638917,80.18517693082724,24,71,17,8,202.89
Bhumi,13.087810093488727,80.27298915041955,23,81,14,11,200.965
The Banyan,13.076096079123564,80.18832608118363,24,143,22,84,131.715
The Banyan,13.070174620245526,80.17034469916605,62,96,24,56,165.385
Dean Foundation,13.087076607814096,80.26121231018303,58,175,21,1,279.57
Ekam Foundation,13.05307109720509,80.21670290054213,27,73,20,34,167.505
Life Help Centre,13.000358415405367,80.26599178748027,64,186,17,63,194.065
Bhumi,13.085116479495156,80.26688927397068,24,95,11,24,187.625
Bhumi,13.083718478479048,80.2758136610725,21,75,13,79,94.85
Nice Foundation,13.057035197604185,80.22948531355269,57,124,14,81,129.185
India Vision Institute,13.0734152022706,80.23907841808587,56,60,8,30,170.075
Life Help Centre,13.001569529819031,80.25204839927594,20,139,7,9,226.985
Nice Foundation,13.047397230811422,80.21597687704997,25,64,19,72,107.795
Life Help Centre,13.006290118161374,80.26326786328585,58,69,5,52,141.245
India Vision Institute,13.065715558073508,80.24231473677193,40,134,8,52,167.575
Sri Arunodayam,13.07911283097538,80.25620965692231,33,51,17,82,82.71
India Vision Institute,13.079783057726717,80.24359263775476,54,188,19,87,153.65
Akshaya Trust,13.035501322690145,80.2736934623807,51,125,14,78,134.55
Life Help Centre,13.006793860117384,80.26325322564763,40,133,20,70,151.135
Sri Arunodayam,13.077635125920404,80.2485216971724,29,177,18,43,208.19
Life Help Centre,12.9962773313446,80.25574465939371,55,105,17,14,220.65
Dean Foundation,13.08863091666148,80.2550453760351,21,83,6,19,185.355
India Vision Institute,13.079896573930188,80.2354199792317,65,55,21,100,79.96
Dean Foundation,13.097703478974896,80.25584254157106,50,115,1,57,153.815
Sri Arunodayam,13.073939468882138,80.25544947363736,64,81,17,45,169.0
Sri Arunodayam,13.076002452367462,80.24056202664408,60,56,2,77,97.06
Ekam Foundation,13.055173555709732,80.20812442209446,64,89,17,42,178.24
India Vision Institute,13.079893135731956,80.2484841390472,51,135,11,42,191.42
India Vision Institute,13.066580275846423,80.23579712561539,37,182,1,68,162.09
Life Help Centre,12.999040073233248,80.26439257661826,43,119,22,57,168.545
Sri Arunodayam,13.087830710986236,80.2561862445496,27,160,1,29,205.875
Nice Foundation,13.059781309870338,80.22518293846079,51,163,22,6,268.79
Ekam Foundation,13.054016672033391,80.20036340104056,48,179,20,3,274.86
Bhumi,13.082271414435482,80.26432791877662,32,91,3,17,191.16
The Banyan,13.07243131014886,80.18043572249144,28,111,8,40,170.9
Nice Foundation,13.043884957703558,80.22288210930114,29,78,13,15,195.315
Life Help Centre,13.010840138601482,80.25856982579936,60,114,22,8,238.31
Akshaya Trust,13.036252508766763,80.27567149570754,60,183,10,11,262.815
Dean Foundation,13.080630139009504,80.25854819044127,65,164,11,54,194.045
The Banyan,13.062641470846586,80.1864143587224,52,122,22,28,212.705
Nice Foundation,13.0466744718035,80.22291121333386,23,174,3,36,201.1
Ekam Foundation,13.063392205075234,80.2098137530684,51,142,2,83,125.06
Sri Arunodayam,13.072802156116207,80.24799037104557,29,161,2,71,150.965
Sri Arunodayam,13.08270443288397,80.25092237854462,47,187,2,44,204.44
India Vision Institute,13.062317531647606,80.23383820395449,38,56,16,98,68.705
India Vision Institute,13.062510591330035,80.23161282586071,56,101,6,100,84.65
Mudhra,13.053458870949406,80.22331401691369,29,165,8,44,191.1
Mudhra,13.062339224452945,80.23524934341535,46,126,20,37,199.165
Ekam Foundation,13.05224073694282,80.20832123187814,43,168,9,31,216.155
Akshaya Trust,13.03485026524418,80.27646749785508,35,63,4,47,135.56
India Vision Institute,13.073039501972437,80.23218745046718,52,54,3,89,76.325
India Vision Institute,13.068779283694772,80.23528620441971,24,100,6,13,201.65
Ekam Foundation,13.062606539889233,80.21175265891061,39,55,9,57,123.41
Akshaya Trust,13.029073872567237,80.26584952554202,27,184,5,47,190.73
Sri Arunodayam,13.086766028286569,80.25786079817273,36,123,1,98,85.84
India Vision Institute,13.064599158328097,80.2309096941724,49,181,14,80,155.89
Nice Foundation,13.056282056000729,80.22992861382623,53,60,3,55,130.595
Akshaya Trust,13.026013423829726,80.27235840967715,55,194,4,80,154.53
Bhumi,13.083722812770697,80.26732533748489,33,200,18,40,222.4
Mudhra,13.055318503523354,80.22311142134362,59,78,18,86,106.53
Akshaya Trust,13.032168303682225,80.26214396104264,20,193,2,73,153.385
Akshaya Trust,13.0389883631204,80.27358457037097,65,56,16,27,183.325
Nice Foundation,13.042318477734204,80.21873303886467,46,111,17,55,163.54
Ekam Foundation,13.064709454176912,80.21937692910899,64,130,17,7,247.49
Ekam Foundation,13.06194550865069,80.20838666089962,27,166,2,89,117.955
Dean Foundation,13.09269923732352,80.25114851432029,38,131,16,36,196.84
Nice Foundation,13.05899676594588,80.22992127003069,48,93,18,25,198.115
Mudhra,13.05654770964697,80.22402389451659,45,197,13,25,244.395
The Banyan,13.076088039533996,80.17277800894168,27,74,7,80,88.915
Mudhra,13.052454558749329,80.23333534864992,22,197,24,31,232.905
Dean Foundation,13.080231105778752,80.25513875813111,61,63,5,82,92.105
India Vision Institute,13.076253033578642,80.23233179764402,60,116,1,8,229.335
India Vision Institute,13.06286153595031,80.23503070024053,49,162,7,39,209.88
Nice Foundation,13.059490458638908,80.22593477552843,47,132,12,66,151.82
Bhumi,13.088667713207885,80.2677651665599,40,169,10,97,119.97
The Banyan,13.07815649742909,80.17773854593433,29,139,19,9,237.82
India Vision Institute,13.0726901692089,80.23513435635779,20,55,17,49,135.08
Dean Foundation,13.093019663047048,80.25218504927875,41,67,12,23,182.96
The Banyan,13.069125786785971,80.17771661239178,64,78,23,92,96.575
Akshaya Trust,13.028386109681886,80.26759030372773,35,121,7,23,201.035
The Banyan,13.077038494039932,80.1887936117776,35,200,23,26,247.38
Bhumi,13.08106030741563,80.26599240738005,31,187,16,99,127.76
Life Help Centre,12.998632283731595,80.25323813396379,30,99,14,89,94.655
Nice Foundation,13.055362883767472,80.21722339307408,46,61,8,82,88.48
Ekam Foundation,13.046056748869134,80.20045369057104,64,89,16,90,101.515
The Banyan,13.068482553491686,80.17768529063122,21,182,24,92,134.8
Dean Foundation,13.096269731436834,80.2640931546067,56,121,13,84,123.18
The Banyan,13.072871422237633,80.17032060952137,27,96,21,63,141.025
Nice Foundation,13.059434290085775,80.22168698325198,39,117,19,60,155.23
Mudhra,13.0560884631239,80.22520801705345,41,75,9,37,165.35
Bhumi,13.078642594587151,80.26362665901057,40,94,4,73,114.84
Bhumi,13.073663962248412,80.26788679206973,39,188,3,17,242.255
The Banyan,13.061555179085936,80.17921360775146,20,115,1,35,169.975
Akshaya Trust,13.031404563172924,80.26799689508375,50,139,13,3,244.1
The Banyan,13.064161365597558,80.18372688083687,45,196,23,11,271.595
Sri Arunodayam,13.083295693593758,80.24181054843278,45,77,11,97,83.095
India Vision Institute,13.061546335952707,80.24992619181712,47,71,20,100,81.135
Nice Foundation,13.053414039774069,80.22880524424919,21,106,2,89,87.425
Life Help Centre,13.002438289699215,80.25310484004056,23,98,2,79,96.935
Mudhra,13.05454225285042,80.22511615437482,34,168,23,58,185.375
Bhumi,13.07658442229489,80.27678959224191,22,75,18,25,179.72
Mudhra,13.06013519595176,80.22441134010403,31,158,13,71,152.465
Akshaya Trust,13.030658910914736,80.25813200411726,37,186,6,21,236.985
Mudhra,13.060691668238311,80.23375049253835,32,123,22,36,195.99
Bhumi,13.077552017769976,80.27396469366475,34,150,7,68,146.225
The Banyan,13.062743210353048,80.18372144185935,56,124,21,51,183.24
India Vision Institute,13.060558476515428,80.24937466402972,33,159,16,80,142.28
Akshaya Trust,13.031938267193937,80.2677800187427,48,55,20,8,212.655
Ekam Foundation,13.052391514074383,80.21584977703904,56,178,2,38,213.875
Nice Foundation,13.053034583892003,80.22622407036918,53,141,13,77,145.315
Life Help Centre,13.003382196730389,80.25968499413564,27,106,22,91,100.94
Akshaya Trust,13.042544811704651,80.26696360176334,55,198,21,51,209.775
The Banyan,13.06886814010416,80.17488714266241,20,182,17,33,218.185
India Vision Institute,13.061513791508029,80.24208900458268,47,84,14,2,225.3
Mudhra,13.061392331050463,80.22441548132947,20,143,20,8,242.6
Ekam Foundation,13.057540817973653,80.2060735880515,47,78,9,28,183.245
The Banyan,13.066566851399218,80.17501549010444,27,78,19,10,206.355
Nice Foundation,13.056147436102052,80.2208939709597,22,178,19,72,162.945
Life Help Centre,12.997334942363272,80.2569509422774,54,151,22,10,259.155
Sri Arunodayam,13.078586369518158,80.25290142267292,49,141,9,53,174.095
Mudhra,13.06560455373576,80.23363044644944,43,164,3,14,244.79
Nice Foundation,13.054878676883195,80.22483920664496,62,84,17,67,137.74
The Banyan,13.07722957935991,80.18770502177732,57,133,1,6,236.51
Sri Arunodayam,13.070143112245043,80.25589881428746,63,190,4,89,144.425
India Vision Institute,13.068277672543667,80.23407971726644,49,174,3,49,190.825
Nice Foundation,13.05913337951046,80.21593675878225,51,103,22,52,169.535
Life Help Centre,12.999511720323046,80.26146999176616,32,112,2,57,144.155
Nice Foundation,13.040327186347922,80.21487071271164,38,90,8,46,154.07
India Vision Institute,13.060006747189794,80.2438766488456,35,97,10,83,100.685
Life Help Centre,13.000891659088452,80.25032833436443,65,198,7,55,192.58
Bhumi,13.0872188421619,80.26295679838489,59,193,4,76,161.455
The Banyan,13.060517017667708,80.17238441928434,31,94,4,47,148.65
Sri Arunodayam,13.07989936018837,80.24171583382272,29,50,24,5,208.315
Dean Foundation,13.081015635018542,80.25763399642898,22,156,10,25,214.025
India Vision Institute,13.062993915952214,80.24892860910244,45,195,20,70,181.17
India Vision Institute,13.075228262787794,80.24261297291613,27,134,1,85,109.05
Mudhra,13.052234542367977,80.22857598586323,54,200,1,63,182.35
Bhumi,13.07272331295024,80.2608556868279,42,76,16,89,94.325
Ekam Foundation,13.061904219354846,80.21187698646196,60,162,12,0,265.905
Life Help Centre,12.994568491250044,80.25510488352836,42,107,12,51,161.295
Nice Foundation,13.05228395253918,80.22797327690051,44,179,9,3,265.855
Nice Foundation,13.040307411315842,80.2270308750979,52,181,21,65,188.02
The Banyan,13.064457376133284,80.1862271813501,50,96,6,92,91.325
Akshaya Trust,13.04022831806553,80.26119008462757,64,90,16,77,126.24
Nice Foundation,13.044738838804872,80.21134047615689,62,116,19,41,189.835
Mudhra,13.06450354105644,80.22976693353318,47,67,4,5,206.845
Akshaya Trust,13.023918979314622,80.25780738784958,56,126,18,6,240.15
The Banyan,13.07386267098017,80.18836556704595,55,142,17,66,164.605
Ekam Foundation,13.052156711776112,80.20852771851025,64,147,9,86,136.655
Sri Arunodayam,13.085198446193347,80.25285022103532,27,119,24,14,223.94
The Banyan,13.061918126667097,80.17322267312561,55,168,19,14,258.055
Akshaya Trust,13.03850521097537,80.27021690726197,41,130,12,26,208.835
Life Help Centre,13.011060174778958,80.25630958702571,48,103,12,69,133.63
Life Help Centre,12.993073297116744,80.26149000702023,20,123,13,14,215.015
The Banyan,13.06325618835112,80.17632022589574,60,112,21,2,240.105
Ekam Foundation,13.057813482408475,80.21542357121477,44,182,18,19,251.475
Dean Foundation,13.08911498342892,80.2695331603558,24,126,4,37,181.415
Dean Foundation,13.08424798471136,80.26171300961558,65,67,10,86,94.75
Dean Foundation,13.098014295105935,80.26679499847864,50,155,7,73,149.65
Nice Foundation,13.047816163493202,80.21484743564028,65,125,19,50,188.04
Sri Arunodayam,13.075202596223695,80.25409406153112,29,59,14,62,115.505
Dean Foundation,13.09151152334654,80.25414437441702,59,106,8,100,89.605
Nice Foundation,13.05316492756907,80.22850924089393,56,112,24,25,212.11
Life Help Centre,12.998174314660936,80.25617218150472,61,160,7,51,189.175
Nice Foundation,13.059072401700767,80.22689281030561,55,68,22,65,128.71
Nice Foundation,13.05799030492594,80.22518887827235,42,109,8,91,96.895
Akshaya Trust,13.029833513827542,80.2762056767866,51,197,24,26,255.245
Dean Foundation,13.099061468331424,80.2510677389988,53,65,23,38,173.93
Mudhra,13.050570167956996,80.22846484735174,53,127,3,26,204.145
Ekam Foundation,13.052876272504385,80.2044430532312,33,140,19,48,181.385
India Vision Institute,13.072764388080971,80.23172119619554,53,65,20,14,205.54
Nice Foundation,13.056422016460498,80.2247200674793,64,169,21,55,199.13
India Vision Institute,13.064070479131187,80.2403361675222,23,173,14,74,159.105
Dean Foundation,13.08603100599355,80.25809034234136,21,76,13,10,198.63
Nice Foundation,13.055130940166965,80.22352265290007,47,177,21,59,192.015
Ekam Foundation,13.0482121561462,80.2097993332595,30,135,7,4,234.165
Dean Foundation,13.094863438192103,80.25007330928821,28,100,11,57,141.01
Akshaya Trust,13.039059447234626,80.27550599668213,54,119,22,40,195.13
Bhumi,13.08221422878744,80.27373085477879,41,132,1,18,211.21
Mudhra,13.06485329661203,80.22554984428187,29,97,4,38,163.25
Life Help Centre,13.006166237739327,80.24841875545911,21,195,1,28,217.945
Ekam Foundation,13.046366784948804,80.20049989288432,59,129,20,72,149.275
Sri Arunodayam,13.074307444870188,80.24843220953215,36,175,12,63,173.1
Akshaya Trust,13.040005354760384,80.27472468600625,61,113,12,34,190.065
Bhumi,13.087894214316606,80.26472742357277,58,83,17,84,109.665
Nice Foundation,13.040961851541882,80.2230043382812,23,120,18,5,230.475
Bhumi,13.079790548165091,80.27231089981753,40,160,15,6,260.51
Ekam Foundation,13.054711541038309,80.20625517152885,52,97,10,17,206.645
Nice Foundation,13.049618410720347,80.22346688536814,58,115,8,64,148.745
Life Help Centre,13.009373081720886,80.26272833866456,54,88,2,44,158.17
The Banyan,13.07130814842568,80.17601985909246,58,91,16,55,156.815
The Banyan,13.075335440042895,80.1735745576351,33,179,5,5,258.035
Mudhra,13.050855236605711,80.23910664990399,46,122,5,35,188.87
Bhumi,13.089848497838595,80.2729379284325,28,195,6,60,177.255
Akshaya Trust,13.039396176503947,80.27343876467263,60,103,22,57,165.77
Ekam Foundation,13.050750842036484,80.20810574906845,45,175,4,82,140.595
Bhumi,13.07532102373591,80.27015039852256,35,129,21,24,215.735
Ekam Foundation,13.049467463172409,80.21088086280726,23,178,10,76,150.495
India Vision Institute,13.07244469587592,80.23478478428602,20,104,2,2,212.28
Mudhra,13.061218360201002,80.23261370649095,30,139,10,11,229.88
Bhumi,13.091385182506604,80.27362019121325,52,156,19,48,196.605
Nice Foundation,13.054310182083686,80.22926368499456,42,113,22,49,174.135
Life Help Centre,13.00026538061656,80.26126869747085,33,140,17,77,140.525
Dean Foundation,13.080266819894566,80.25472945040121,34,155,11,31,209.445
Akshaya Trust,13.024919617195136,80.2629062865868,49,164,5,90,124.505
Nice Foundation,13.050386017050966,80.21091703870196,41,65,9,33,163.645
Sri Arunodayam,13.08121229783441,80.24264519265512,58,177,16,34,229.96
India Vision Institute,13.076504375444602,80.2449865610038,29,167,8,59,172.155
Life Help Centre,12.995408096325203,80.25512831567,60,50,24,35,170.195
India Vision Institute,13.061543608596349,80.23644014551776,61,167,24,8,273.505
India Vision Institute,13.07267261733302,80.23824283782827,46,71,5,83,94.8
Nice Foundation,13.046510458368738,80.21629529436018,39,150,20,95,121.305
Dean Foundation,13.0894534494478,80.25255831544061,52,95,4,29,182.895
Akshaya Trust,13.041968146914662,80.25753088460849,33,137,5,71,137.62
Ekam Foundation,13.04757057642257,80.20766208139402,41,117,11,22,206.2
Sri Arunodayam,13.085885701860391,80.24878863129008,28,164,10,84,135.27
Akshaya Trust,13.040352808933228,80.26559477043439,48,56,16,4,212.465
Sri Arunodayam,13.079054588422352,80.25776452347398,29,89,4,81,91.865
Ekam Foundation,13.053729713352444,80.21417372721439,21,124,19,100,93.775
Bhumi,13.081538834709493,80.26217279020884,25,190,17,16,248.56
India Vision Institute,13.077300203976945,80.23585451429051,65,158,1,29,217.74
Ekam Foundation,13.047719163588528,80.21375140340547,50,72,17,75,116.0
Life Help Centre,13.001417313874615,80.25538797558367,24,177,8,18,232.395
India Vision Institute,13.06754970617385,80.24059686159401,34,109,6,18,202.02
Akshaya Trust,13.023653104637855,80.26926189951227,55,167,18,12,261.765
Life Help Centre,12.996797969328478,80.24714601684187,61,112,3,0,235.965
Sri Arunodayam,13.072117561046444,80.24254682451456,50,136,18,34,207.865
India Vision Institute,13.06646389186692,80.24358832655432,62,168,3,26,228.28
Nice Foundation,13.050784027477272,80.21932910306823,20,196,20,43,213.435
India Vision Institute,13.062453787981818,80.23899478190843,45,97,22,94,97.175
Dean Foundation,13.087368320343982,80.26806866180725,51,139,9,62,160.32
Sri Arunodayam,13.07033753950354,80.2595472489555,49,94,18,18,206.13
India Vision Institute,13.07583486707486,80.23166709225426,31,180,8,25,226.165
Nice Foundation,13.044297881713309,80.2154135994134,56,158,17,85,146.095
Bhumi,13.082037176946242,80.277022037054,28,50,4,42,142.055
Mudhra,13.055996764075877,80.22382199485888,37,143,12,96,117.98
Akshaya Trust,13.033998658668288,80.25719092565573,39,50,6,34,154.25
Akshaya Trust,13.037393583723365,80.27195011844834,24,67,17,12,195.56
Akshaya Trust,13.031697919948558,80.27215961359165,24,106,21,97,92.165
The Banyan,13.061414911202256,80.1742052193683,29,88,5,58,129.98
The Banyan,13.065004518849326,80.17282033706955,34,168,10,32,212.31
Dean Foundation,13.082446252852876,80.25995008292232,51,120,1,44,174.375
Mudhra,13.061752847022913,80.23092977192246,42,62,11,47,143.645
India Vision Institute,13.065279244164415,80.23869345608328,31,140,22,100,115.305
The Banyan,13.069885913237105,80.18796158960052,21,105,1,0,214.25
Ekam Foundation,13.061590065656665,80.21453141259315,54,92,16,72,129.36
India Vision Institute,13.061779881925773,80.24942878804663,36,86,12,48,150.48
India Vision Institute,13.067467219938507,80.24071683859945,23,135,19,54,166.345
Life Help Centre,13.008698039004004,80.25137850895537,33,109,24,2,237.785
The Banyan,13.077803738045828,80.17692346585763,57,176,2,0,267.825
Dean Foundation,13.091262182717758,80.25566437340817,55,182,10,87,146.94
Sri Arunodayam,13.081101199650144,80.24394237643992,24,129,1,30,185.05
India Vision Institute,13.076451848547102,80.24012635913817,22,50,8,24,163.485
Nice Foundation,13.043165615335194,80.21667629475841,55,171,24,94,143.145
Mudhra,13.068274494826008,80.22311601000928,39,82,20,26,188.62
Ekam Foundation,13.053125314703172,80.21536228888938,22,90,21,72,126.345
Life Help Centre,13.002072217270804,80.25690814352097,31,107,18,30,188.875
Sri Arunodayam,13.0877807914193,80.25235838178963,65,111,22,69,152.99
Akshaya Trust,13.024239910254256,80.26073986640831,30,148,24,99,117.15
Bhumi,13.07869892371178,80.27226761947128,34,92,22,40,174.86
India Vision Institute,13.078696964383637,80.23708321581701,32,123,2,79,111.305
Nice Foundation,13.05100634619134,80.21396178894416,41,77,6,92,83.46
Life Help Centre,12.996820603098262,80.25198182669524,26,66,16,68,111.95
India Vision Institute,13.065483142698064,80.24346581161183,37,93,21,8,225.06
Ekam Foundation,13.05411063274216,80.20747914142294,44,133,9,38,190.88
Mudhra,13.063647569173996,80.23056495753121,62,108,14,41,185.37
Bhumi,13.074801364922568,80.26428098601463,56,162,21,30,233.24
India Vision Institute,13.07004141894489,80.23011759561132,23,66,17,13,192.515
Nice Foundation,13.049173207923404,80.22212929665189,53,58,7,43,150.93
Nice Foundation,13.050319972053131,80.22823511136532,46,188,6,57,188.105
Ekam Foundation,13.056221081309078,80.21522471747132,61,175,14,27,239.665
